Date,Measure Names,Tooltip Date,Sales Detail,Sales
10/1/2016,Sales,October 2016,2542720.76,2542720.76
11/1/2016,Sales,November 2016,4495401.2,4495401.2
12/1/2016,Sales,December 2016,7358744.91,7358744.91
1/1/2017,Sales,January 2017,30505016.24,30505016.24
2/1/2017,Sales,February 2017,33304295.21,33304295.21
3/1/2017,Sales,March 2017,40167570.58,40167570.58
4/1/2017,Sales,April 2017,41221222.1,41221222.1
5/1/2017,Sales,May 2017,42821237.98,42821237.98
6/1/2017,Sales,June 2017,45142658.49,45142658.49
7/1/2017,Sales,July 2017,48594620.3299999,48594620.3299999
8/1/2017,Sales,August 2017,52291580.54,52291580.54
9/1/2017,Sales,September 2017,51031586.79,51031586.79
10/1/2017,Sales,October 2017,47006851.17,47006851.17
11/1/2017,Sales,November 2017,43487768.48,43487768.48
12/1/2017,Sales,December 2017,46778274.28,46778274.28
1/1/2018,Sales,January 2018,44569195.5700001,44569195.5700001
2/1/2018,Sales,February 2018,44973348.8700001,44973348.8700001
3/1/2018,Sales,March 2018,53032956.51,53032956.51
4/1/2018,Sales,April 2018,52493380.86,52493380.86
5/1/2018,Sales,May 2018,53872674.51,53872674.51
6/1/2018,Sales,June 2018,56138521.2999999,56138521.2999999
7/1/2018,Sales,July 2018,58183325.2999999,58183325.2999999
8/1/2018,Sales,August 2018,61433920.23,61433920.23
9/1/2018,Sales,September 2018,57604337.8,57604337.8
10/1/2018,Sales,October 2018,56114367.55,56114367.55
11/1/2018,Sales,November 2018,53752068.39,53752068.39
12/1/2018,Sales,December 2018,56224338.14,56224338.14
1/1/2019,Sales,January 2019,54280992.31,54280992.31
2/1/2019,Sales,February 2019,52773889.66,52773889.66
3/1/2019,Sales,March 2019,62119814.93,62119814.93
4/1/2019,Sales,April 2019,62369873.7600001,62369873.7600001
5/1/2019,Sales,May 2019,64574747.52,64574747.52
6/1/2019,Sales,June 2019,66593082.79,66593082.79
7/1/2019,Sales,July 2019,73144531.3999999,73144531.3999999
8/1/2019,Sales,August 2019,79371526.47,79371526.47
9/1/2019,Sales,September 2019,71611294.5700001,71611294.5700001
10/1/2019,Sales,October 2019,70857737.06,70857737.06
11/1/2019,Sales,November 2019,68507652.84,68507652.84
12/1/2019,Sales,December 2019,68928674.28,68928674.28
1/1/2020,Sales,January 2020,68653599.9,68653599.9
2/1/2020,Sales,February 2020,69788785.5800001,69788785.5800001
3/1/2020,Sales,March 2020,84863480.4800001,84863480.4800001
4/1/2020,Sales,April 2020,89747591.62,89747591.62
5/1/2020,Sales,May 2020,103437574.34,103437574.34
6/1/2020,Sales,June 2020,100490240.53,100490240.53
7/1/2020,Sales,July 2020,106619102.02,106619102.02
8/1/2020,Sales,August 2020,103897664.94,103897664.94
9/1/2020,Sales,September 2020,97939284.21,97939284.21
10/1/2020,Sales,October 2020,99128982.03,99128982.03
11/1/2020,Sales,November 2020,89971220.12,89971220.12
12/1/2020,Sales,December 2020,96490032.16,96490032.16
1/1/2021,Sales,January 2021,100420129.46,100420129.46
2/1/2021,Sales,February 2021,88915911.6599999,88915911.6599999
3/1/2021,Sales,March 2021,109328601.92,109328601.92
