activity,business_dba_name,business_image_url,business_legal_name,business_structure,business_website,data_refreshed_date,expiration_date,id,issue_date,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,phone_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state
,First State Compassion–Wilmington,,First State Compassion–Wilmington,,http://firststatecompassion.com,2023-08-13T15:41:08.811830,,0,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-543-2100,Wilmington,New Castle County,39.7267046,-75.5783397,DE
,First State Compassion–Lewes,,First State Compassion–Lewes,,http://firststatecompassion.com,2023-08-13T15:41:08.811830,,1,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-281-4888,Lewes,Sussex County,38.7423686,-75.1913129,DE
,Columbia Care Delaware,,Columbia Care Delaware,,https://col-carede.com/,2023-08-13T15:41:08.811830,,2,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-212-0033,Rehoboth Beach,Sussex County,38.7150624,-75.1088824,DE
,Columbia Care Delaware,,Columbia Care Delaware,,https://col-carede.com/,2023-08-13T15:41:08.811830,,3,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-212-0033,Rehoboth Beach,Sussex County,38.7150624,-75.1088824,DE
,Columbia Care Delaware,,Columbia Care Delaware,,https://col-carede.com/,2023-08-13T15:41:08.811830,,4,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-212-0033,Rehoboth Beach,Sussex County,38.7150624,-75.1088824,DE
,Field Supply,,Field Supply,,https://thefieldsupply.com,2023-08-13T15:41:08.811830,,5,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-482-3449,Wilmington,New Castle County,39.7252714,-75.65674109999999,DE
,Fresh Cannabis,,Fresh Cannabis,,https://freshdelaware.com/,2023-08-13T15:41:08.811830,,6,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-608-9595,Newark,New Castle County,39.6863049,-75.7301985,DE
,Fresh Cannabis,,Fresh Cannabis,,https://freshdelaware.com/,2023-08-13T15:41:08.811830,,7,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-404-0552,Seaford,Sussex County,38.6574699,-75.59447229999999,DE
,The Farm,,The Farm,,https://www.thefarmde.com ,2023-08-13T15:41:08.811830,,8,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-469-5470,Felton,Kent County,39.0426876,-75.5566229,DE
,The Farm,,The Farm,,https://www.thefarmde.com ,2023-08-13T15:41:08.811830,,9,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-327-0393,New Castle,New Castle County,39.6533576,-75.6165351,DE
,Best Buds,,Best Buds,,https://www.Bestbuds.com,2023-08-13T15:41:08.811830,,10,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-505-5000,Dover,Kent County,39.1777374,-75.5248116,DE
,Best Buds,,Best Buds,,https://Bestbuds.com,2023-08-13T15:41:08.811830,,11,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-505-5000,Georgetown,Sussex County,38.6802325,-75.3966186,DE
